first_seen_date,status,role_bucket,title_as_posted,company,location,experience,source,url,confidence_note
2026-07-23,active,Head of Marketing (Digital-heavy, adjacent),Head of Marketing,Yatra Online,Gurgaon,12-17 yrs,Instahyre,https://www.instahyre.com/job-80454-head-of-marketing-at-yatra-gurgaon/,"Recency unverified (WebFetch blocked 403 on instahyre.com); confirm posted date on open. Not Forbes-1000 scale. Spot-checked 2026-07-24, no new negative signal found."
2026-07-23,active,Head of Marketing (Digital-heavy, adjacent),Head of Marketing,Junglee Games,Gurgaon,11-16 yrs,Instahyre,https://www.instahyre.com/job-253717-head-of-marketing-at-junglee-games-gurgaon/,"Recency unverified (WebFetch blocked 403 on instahyre.com); confirm posted date on open. Not Forbes-1000 scale."
2026-07-23,active,Head of Demand Gen (adjacent: Performance Marketing),Performance Marketing Head,BharatPe,Gurgaon,8-12 yrs,Instahyre,https://www.instahyre.com/job-331801-performance-marketing-head-at-bharatpe-gurgaon/,"Recency unverified (WebFetch blocked 403 on instahyre.com); confirm posted date on open. Not Forbes-1000 scale. Spot-checked 2026-07-24 04:12 UTC, no negative signal found."
2026-07-23,active,Head of Marketing (adjacent),Head of Marketing,Masters' Union,Gurugram,8-12 yrs,foundit.in,https://www.foundit.in/job/head-of-marketing-masters-union-gurugram-38299873,"Recency unverified (WebFetch blocked 403 on foundit.in); confirm posted date on open. Not Forbes-1000 scale. Spot-checked 2026-07-24 06:13 UTC: still shows active (no 'Position Closed' tag), unlike a different Masters' Union req found in the same search that IS marked closed -- positive corroboration."
2026-07-23,removed_2026-07-23,Head of Digital Marketing (exact title),Head of Digital Marketing,ME,Gurugram,not stated,LinkedIn,https://in.linkedin.com/jobs/view/head-of-digital-marketing-at-me-3976362061,"REMOVED on 2026-07-23 validation pass: repeated WebSearch cross-checks found no independent corroboration; job-ID pattern strongly suggests a stale/expired listing."
2026-07-23,removed_2026-07-24,Director Digital Marketing (exact title match),"Senior Director, Marketing - Digital Lead",Coca-Cola,Gurgaon,not stated,Company site (Workday),https://coke.wd1.myworkdayjobs.com/en-US/coca-cola-careers/job/India---Gurgaon/Senior-Director--Marketing---Digital-Lead_R-120599/apply/applyManually,"REMOVED on 2026-07-24 validation pass: WebSearch surfaced an explicit posting end date of 2025-04-16 -- over a year stale despite having looked corroborated the day before. Lesson: independent mirrors existing is not proof of being current, only proof the listing was once real."
2026-07-23,removed_2026-07-24,Director Marketing (adjacent - not explicitly digital),"Director, Marketing - Emerging Categories",Coca-Cola,Gurugram,not stated,Company site (Phenom),https://careers.coca-colacompany.com/job/22145805/director-marketing-emerging-categories-gurugram-in/,"REMOVED on 2026-07-24 validation pass: WebSearch surfaced a posting date of 2025-06-30 (over a year stale); corroborating articles show other people already reported into director-level Coca-Cola marketing roles since then."
2026-07-23,active,Head of Demand Gen (adjacent: Growth Marketing),"Head, Growth Marketing, Amazon Business India",Amazon,Location NOT confirmed as Gurgaon,not stated,Company site (amazon.jobs),https://www.amazon.jobs/en/jobs/3009146/head-growth-marketing-amazon-business-india,"Location still unconfirmed after 3 rounds of searches (2026-07-23, 2026-07-24 x2). Spot-check 2026-07-24 02:12 UTC: found Anuradha Aggarwal was appointed Director-Marketing & Growth for Amazon India overall on 2025-09-08 -- a related but organizationally distinct role (Amazon India company-wide vs. this posting's Amazon Business/MSME unit), so not treated as a same-role staleness signal. No direct staleness signal found for this specific posting either way. Far exceeds Forbes-1000/500-employee bar if location checks out."
2026-07-23,logged_not_displayed,Head of Digital Marketing (exact title, below target seniority),Head - Digital Marketing,OYO Rooms,Gurgaon,4-8 yrs (below your 12+ band),iimjobs.com,https://www.iimjobs.com/j/oyo-rooms-head-digital-marketing-4-8-yrs-1287339,"Job-ID pattern suggests likely older/stale listing; experience band too junior for 12+ yrs profile; not Forbes-1000 scale. Never shown on site."
2026-07-24,not_added_weak_evidence,Director Online Marketing (exact title, adjacent seniority),Director Online Marketing,Snapdeal,Gurgaon,8-12 yrs,Instahyre,https://www.instahyre.com/job-36419-director-online-marketing-at-snapdeal-2-gurgaon/,"Very low Instahyre job-ID (36419) relative to other active listings seen (80000-330000+ range) strongly suggests a long-stale listing. Snapdeal is also no longer Forbes-1000 scale (revenue has shrunk substantially from its peak). Not added."
2026-07-24,not_added_below_bar,Head of Demand Gen (exact title claimed but unverified),"Head - Demand Generation" (only Manager-level listing confirmed),Procol,Gurugram,not stated,LinkedIn/Instahyre,https://in.linkedin.com/jobs/view/demand-generation-manager-at-procol-3510616156,"Search engine summary claimed a 'Head - Demand Generation' posting 5 days old, but only a Demand Generation MANAGER listing could actually be located/verified -- title mismatch. Procol is also a small Series A startup (~150-186 employees, ~$6.3M revenue 2025), well below Forbes-1000/500-employee bar regardless. Not added."
2026-07-24,active,Director Digital Marketing (exact title match, senior variant),"Senior Director - Digital Marketing & Customer Acquisition",Delhivery,Gurgaon,10-16 yrs,iimjobs.com,https://www.iimjobs.com/j/delhivery-senior-director-digital-marketing-customer-acquisition-10-16-yrs-1167989,"Corroborated across 2 independent WebSearch passes with consistent details (title/exp/location). Delhivery: NSE-listed, FY26 revenue ~INR 105B (~$1.25B), 24336 employees as of Mar-2025, Gurgaon-HQ'd -- clears Forbes-1000/500-employee bar comfortably. Recency unverified (WebFetch 403, tool-wide)."
